Nhóm Sản Phẩm,Phân Khúc,Model Thống Kê,Dự Báo Nền (Base),HS Tháng 1 (Tự động),HS Tháng 2 (Tự động),HS Tháng 3 (Tự động),Dự Báo T1/2026,Dự Báo T2/2026,Dự Báo T3/2026,TỔNG NHẬP Q1/2026
39.L1.6060.USGM600(1-8),B - LIGHTWEIGHT ML,Naive,29275.0,0.73,0.43,0.62,21486.0,12617.0,18109.0,52212.0
39.L2.3060.USGM360(1-3),D - COLD START,Croston,1152.0,1.0,1.0,1.0,1152.0,1152.0,1152.0,3456.0
"39.L2.3060.USGM361(3,9)",D - COLD START,Croston,660.0,1.0,1.0,1.0,660.0,660.0,660.0,1980.0
39.L2.4080.USG48012,D - COLD START,Croston,954.0,1.0,1.0,1.0,954.0,954.0,954.0,2862.0
"39.L3.6060.UGG60(01,03,04,06,07,10)",D - COLD START,Croston,4188.0,1.0,1.0,1.0,4188.0,4188.0,4188.0,12564.0
39.L3.6060.USGM6008,D - COLD START,Croston,53.0,1.0,1.0,1.0,53.0,53.0,53.0,159.0
"40.L1.3060.UGC3600(AD,AV,BD,BV)",B - LIGHTWEIGHT ML,Croston,65306.29,0.51,1.32,1.62,33497.0,86034.0,105671.0,225202.0
"40.L1.3060.UGC3602(AD,AV,BD,BV)",B - LIGHTWEIGHT ML,Croston,60995.35,0.63,0.9,1.88,38572.0,55007.0,114424.0,208003.0
"40.L1.3060.USC3601(D,V)",B - LIGHTWEIGHT ML,Naive,10352.0,0.45,0.45,0.78,4672.0,4675.0,8075.0,17422.0
"40.L1.3060.USC3602(D,V)",B - LIGHTWEIGHT ML,WMA,5579.7,0.31,1.01,0.56,1718.0,5625.0,3116.0,10459.0
"40.L1.3060.USC3603(D,V)",B - LIGHTWEIGHT ML,WMA,13561.8,0.42,0.54,0.8,5733.0,7390.0,10791.0,23914.0
"40.L1.3060.USC3604(D,V)",B - LIGHTWEIGHT ML,WMA,49.5,0.38,1.23,1.3,19.0,61.0,64.0,144.0
41.L1.3060.M310(1-8),B - LIGHTWEIGHT ML,Naive,11420.0,0.69,1.56,1.85,7930.0,17779.0,21158.0,46867.0
"41.L1.3060.M320(1,3,5,7)",B - LIGHTWEIGHT ML,WMA,367.8,1.0,1.98,1.86,369.0,729.0,686.0,1784.0
"41.L1.3060.S320(1,3,5,7)",B - LIGHTWEIGHT ML,Naive,636.0,0.8,2.05,0.94,507.0,1305.0,595.0,2407.0
41.L1.3060.U310(1-8),B - LIGHTWEIGHT ML,Croston,18708.5,0.66,1.57,1.04,12400.0,29381.0,19465.0,61246.0
41.L1.4080.M410(1-4),B - LIGHTWEIGHT ML,Croston,3993.67,0.41,0.41,0.79,1630.0,1653.0,3174.0,6457.0
"41.L1.4080.MT483001(D,V)",D - COLD START,Naive,951.0,1.0,1.0,1.0,951.0,951.0,951.0,2853.0
"41.L1.4080.MT483002(B,D,W)",D - COLD START,Naive,969.0,1.0,1.0,1.0,969.0,969.0,969.0,2907.0
41.L1.4080.S410(1-9),B - LIGHTWEIGHT ML,Naive,1297.0,0.14,0.06,1.59,188.0,78.0,2062.0,2328.0
41.L1.4080.U410(1-4),B - LIGHTWEIGHT ML,Naive,130.0,0.58,0.12,1.26,76.0,15.0,164.0,255.0
"41.L1.4080.UT483001(D,V)",D - COLD START,Naive,1073.0,1.0,1.0,1.0,1073.0,1073.0,1073.0,3219.0
"41.L1.4080.UT483002(B,W)",D - COLD START,Naive,349.0,1.0,1.0,1.0,349.0,349.0,349.0,1047.0
41.L1.5050.M510(2-5),B - LIGHTWEIGHT ML,WMA,33141.2,0.87,0.91,1.33,28721.0,30024.0,44240.0,102985.0
41.L1.5050.M515(1-5),B - LIGHTWEIGHT ML,Croston,18850.33,0.75,1.47,1.4,14230.0,27711.0,26310.0,68251.0
41.L1.5050.M519(0-3),B - LIGHTWEIGHT ML,MA3,41011.0,1.2,0.88,1.32,49129.0,36225.0,54148.0,139502.0
41.L1.5050.S510(1-4),B - LIGHTWEIGHT ML,WMA,23689.9,0.17,0.36,1.12,4136.0,8578.0,26574.0,39288.0
41.L1.5050.U510(1-4),B - LIGHTWEIGHT ML,MA3,26621.0,0.75,1.04,1.22,19970.0,27678.0,32571.0,80219.0
41.L1.5050.U515(1-5),B - LIGHTWEIGHT ML,Naive,7479.0,1.16,1.17,1.45,8709.0,8730.0,10837.0,28276.0
41.L1.6060.6106,D - COLD START,Croston,1732.0,1.0,1.0,1.0,1732.0,1732.0,1732.0,5196.0
41.L1.6060.620(1-3),D - COLD START,Croston,19054.0,1.0,1.59,0.41,19054.0,30268.0,7840.0,57162.0
"41.L1.6060.M610(1,2,3,5,6)",B - LIGHTWEIGHT ML,SES,10513.3,1.02,1.1,0.92,10756.0,11522.0,9721.0,31999.0
41.L1.6060.M615(1-7),B - LIGHTWEIGHT ML,Naive,8150.0,0.5,1.16,2.22,4082.0,9421.0,18113.0,31616.0
41.L1.6060.MT66300(1-5),D - COLD START,Naive,23370.0,1.0,1.0,1.0,23370.0,23370.0,23370.0,70110.0
41.L1.6060.S610(1-4),B - LIGHTWEIGHT ML,Croston,2390.89,0.04,0.22,1.67,104.0,533.0,3998.0,4635.0
41.L1.6060.S615(1-7),B - LIGHTWEIGHT ML,Croston,7378.07,0.27,0.06,3.14,2009.0,409.0,23139.0,25557.0
41.L1.6060.U610(1-5),B - LIGHTWEIGHT ML,Naive,3678.0,0.74,0.61,0.74,2727.0,2249.0,2726.0,7702.0
41.L1.6060.U615(1-8),B - LIGHTWEIGHT ML,Naive,4574.0,0.33,0.84,2.08,1530.0,3858.0,9530.0,14918.0
"41.L1.6060.UT66300(1,3,4)",D - COLD START,Naive,40.0,1.0,1.0,1.0,40.0,40.0,40.0,120.0
"41.L1.8080.MS88300(1,2,3,6)",D - COLD START,Naive,1163.0,1.0,1.0,1.0,1163.0,1163.0,1163.0,3489.0
41.L1.8080.MT88300(1-6),D - COLD START,Naive,4197.0,1.0,1.0,1.0,4197.0,4197.0,4197.0,12591.0
41.L1.8080.UT88300(1-6),D - COLD START,Naive,4368.0,1.0,1.0,1.0,4368.0,4368.0,4368.0,13104.0
41.L2.3060.R31(01-18),D - COLD START,Croston,18576.0,1.0,1.0,1.0,18576.0,18576.0,18576.0,55728.0
"41.L2.3060.R320(1,7)",D - COLD START,Croston,2480.0,1.0,1.0,1.0,2480.0,2480.0,2480.0,7440.0
41.L2.6060.M6154,D - COLD START,Croston,2312.0,1.0,1.0,1.0,2312.0,2312.0,2312.0,6936.0
43.HC.ALSN3.TRONG,B - LIGHTWEIGHT ML,Naive,0.0,0.12,0.6,1.12,0.0,0.0,0.0,0.0
43.HC.ALSN5.DEN/TRANG/XAM,B - LIGHTWEIGHT ML,MA3,49.67,0.39,0.29,1.48,19.0,15.0,74.0,108.0
47.L1.6060.AFP96666,D - COLD START,Naive,653.0,1.0,1.0,1.0,653.0,653.0,653.0,1959.0
