Nhóm Sản Phẩm,Phân Khúc,Model Thống Kê,Dự Báo Nền (Base),HS Tháng 1 (Tự động),HS Tháng 2 (Tự động),HS Tháng 3 (Tự động),Dự Báo T1/2026,Dự Báo T2/2026,Dự Báo T3/2026,TỔNG NHẬP Q1/2026
36.L3.8080.IP800(1-7),D - COLD START,Croston,2988.0,1.0,1.0,1.0,2988.0,2988.0,2988.0,8964.0
37.C100.DG.VINASTAR.00,B - LIGHTWEIGHT ML,Croston,56892.11,0.44,2.67,0.44,25300.0,152050.0,25162.0,202512.0
37.C1T0.DG.VNS-PLUS.00,B - LIGHTWEIGHT ML,MA3,26100.0,0.26,0.68,0.37,6842.0,17747.0,9594.0,34183.0
37.CG2A.CR.VINASTAR.00,B - LIGHTWEIGHT ML,Croston,6365.26,0.33,0.44,0.82,2123.0,2791.0,5234.0,10148.0
"38.L1.3060.ICC3600(D,V)",B - LIGHTWEIGHT ML,Naive,142.0,0.23,0.68,1.13,33.0,96.0,161.0,290.0
"38.L1.3060.ICC3601(D,V)",B - LIGHTWEIGHT ML,SES,1419.13,0.13,0.07,0.4,184.0,104.0,573.0,861.0
"38.L1.3060.ICC3602(D,V)",B - LIGHTWEIGHT ML,Naive,50.0,0.46,0.81,0.85,23.0,41.0,42.0,106.0
38.L1.3060.ICC3603(D),B - LIGHTWEIGHT ML,Naive,1035.0,1.39,0.55,0.44,1441.0,571.0,455.0,2467.0
38.L1.3060.ICC3604,B - LIGHTWEIGHT ML,Naive,413.0,1.53,0.59,0.49,632.0,243.0,201.0,1076.0
38.L1.3060.ICC3605(D),B - LIGHTWEIGHT ML,SES,1157.23,0.61,1.14,0.41,709.0,1314.0,470.0,2493.0
38.L1.3060.ICC3606,B - LIGHTWEIGHT ML,MA3,655.67,0.48,0.83,0.33,316.0,547.0,219.0,1082.0
38.L1.3060.ICC3607(D),B - LIGHTWEIGHT ML,SES,1155.03,0.16,0.86,0.35,190.0,994.0,409.0,1593.0
38.L1.3060.ICC3608,B - LIGHTWEIGHT ML,Naive,497.0,0.39,1.15,0.54,193.0,570.0,269.0,1032.0
"38.L1.3060.KAI3600(D,V)",B - LIGHTWEIGHT ML,Naive,7521.0,0.12,0.24,1.39,889.0,1813.0,10459.0,13161.0
"38.L1.3060.KAI3601(AD,AV,BD,BV)",B - LIGHTWEIGHT ML,Croston,9594.46,0.52,0.12,1.67,5018.0,1116.0,16055.0,22189.0
38.L1.3060.KAI3603(D),B - LIGHTWEIGHT ML,Croston,4765.17,0.08,0.29,1.37,389.0,1402.0,6513.0,8304.0
38.L1.3060.KAI3604,B - LIGHTWEIGHT ML,Naive,2796.0,0.21,0.59,0.62,586.0,1643.0,1743.0,3972.0
38.L1.3060.KAI3605(D),B - LIGHTWEIGHT ML,WMA,8399.9,0.15,0.17,1.16,1269.0,1448.0,9724.0,12441.0
38.L1.3060.KAI3606,B - LIGHTWEIGHT ML,WMA,3647.9,0.28,0.58,0.76,1022.0,2105.0,2770.0,5897.0
"38.L1.3060.UGC3600(AD,AV,BD,BV)",B - LIGHTWEIGHT ML,MA3,182.0,0.04,0.01,0.02,7.0,1.0,4.0,12.0
"38.L1.3060.UGC3602(AD,AV,BD,BV)",B - LIGHTWEIGHT ML,Naive,0.0,0.14,0.02,0.13,0.0,0.0,0.0,0.0
38.L1.5050.SVICC(501-509),B - LIGHTWEIGHT ML,SES,14163.27,0.49,0.57,0.56,6924.0,8016.0,7993.0,22933.0
38.L1.5050.SVKAI(501-507),B - LIGHTWEIGHT ML,Naive,30435.0,0.14,0.37,0.7,4164.0,11402.0,21378.0,36944.0
38.L1.5050.SVUSC(505-514),B - LIGHTWEIGHT ML,Naive,12559.0,0.3,1.16,1.5,3753.0,14614.0,18887.0,37254.0
"38.L2.3060.ICC3600(D,V)",D - COLD START,Croston,1408.0,1.0,1.0,1.0,1408.0,1408.0,1408.0,4224.0
"38.L2.3060.ICC3601(D,V)",D - COLD START,Croston,2252.0,1.0,1.0,1.0,2252.0,2252.0,2252.0,6756.0
"38.L2.3060.ICC3602(D,V)",D - COLD START,Croston,2292.0,1.0,1.0,1.0,2292.0,2292.0,2292.0,6876.0
38.L2.3060.ICC3603(D),D - COLD START,Croston,1256.0,1.0,1.0,1.0,1256.0,1256.0,1256.0,3768.0
38.L2.3060.ICC3604,D - COLD START,Croston,1256.0,1.0,1.0,1.0,1256.0,1256.0,1256.0,3768.0
38.L2.3060.ICC3605(D),D - COLD START,Croston,1000.0,1.0,1.0,1.0,1000.0,1000.0,1000.0,3000.0
38.L2.3060.ICC3606,D - COLD START,Croston,640.0,1.0,1.0,1.0,640.0,640.0,640.0,1920.0
38.L2.3060.ICC3607(D),D - COLD START,Croston,1096.0,1.0,1.0,1.0,1096.0,1096.0,1096.0,3288.0
38.L2.3060.ICC3608,D - COLD START,Croston,152.0,1.0,1.0,1.0,152.0,152.0,152.0,456.0
38.L2.3060.UGC3600(AV),D - COLD START,Croston,3048.0,1.0,1.0,1.0,3048.0,3048.0,3048.0,9144.0
38.L2.3060.UGC3602(AV),D - COLD START,Croston,3712.0,1.0,1.0,1.0,3712.0,3712.0,3712.0,11136.0
39.L1.3060.USGM36(01-20),B - LIGHTWEIGHT ML,Naive,39929.0,1.1,0.68,0.86,43973.0,27112.0,34466.0,105551.0
39.L1.4080.USG480(03-17),B - LIGHTWEIGHT ML,SES,11023.29,0.15,0.57,0.95,1688.0,6307.0,10469.0,18464.0
"39.L1.6060.UGG60(01,03,04,06,07,10)",B - LIGHTWEIGHT ML,Naive,18631.0,0.67,0.73,1.09,12501.0,13631.0,20249.0,46381.0
