Phân khúc,Mã Sản Phẩm,Mô Hình Tối Ưu,Val_sMAPE (%),Val_RMSE,Dự báo T1/2026,Dự báo T2/2026,Dự báo T3/2026
C - Sparse,"14.L1.3060.368(10,22)",Naive,0.0,0.0,0.0,0.0,0.0
A - ML Candidate,14.L1.3060.A36320_,SARIMA,25.2,2006.87,11051.0,12363.0,12683.0
A - ML Candidate,14.L1.3060.A36420,ARIMA,40.04,870.26,2517.0,2517.0,2517.0
A - ML Candidate,"14.L1.3060.A36800(D,V)",XGBoost,69.89,1183.81,1763.0,800.0,1708.0
A - ML Candidate,14.L1.3060.A36810(D),Prophet,71.56,406.33,0.0,0.0,0.0
A - ML Candidate,14.L1.3060.A36822(D),XGBoost,3.72,339.76,4209.0,5818.0,7913.0
A - ML Candidate,"14.L1.3060.A369(10,22)",XGBoost,36.88,1681.06,3491.0,5288.0,3159.0
C - Sparse,14.L1.3060.A36AG403,Naive,0.0,0.0,0.0,0.0,0.0
A - ML Candidate,14.L1.3060.US36AG901(D),XGBoost,85.95,245.45,1134.0,719.0,331.0
A - ML Candidate,14.L1.3060.US36AW801,ARIMA,51.26,234.05,999.0,889.0,1033.0
A - ML Candidate,"14.L1.3060.US36CB(806,902/902D)",ARIMA,85.24,408.01,501.0,501.0,501.0
A - ML Candidate,"14.L1.3060.US36CG80(2,4)",CatBoost,70.46,391.32,2558.0,5853.0,2367.0
A - ML Candidate,14.L1.3060.US36CN906_,LSTM,127.53,233.24,228.0,228.0,228.0
A - ML Candidate,14.L1.3060.US36CW807,Ensemble,10.77,55.85,390.0,390.0,390.0
A - ML Candidate,14.L1.3060.US36LB907_,LSTM,24.27,72.98,283.0,283.0,283.0
A - ML Candidate,14.L1.3060.US36LG904(D),XGBoost,82.32,220.97,264.0,262.0,143.0
A - ML Candidate,"14.L1.4080.488(00,07,68)",XGBoost,117.51,559.86,51.0,887.0,663.0
A - ML Candidate,"14.L1.4080.4890(7/7D,8D)",Prophet,48.81,198.2,0.0,0.0,0.0
A - ML Candidate,"14.L1.60120.(61184061,61185064,61286012,61432051,M61LD902,M61ST301,US6861)",ARIMA,124.09,55.41,6.0,6.0,6.0
A - ML Candidate,"14.L1.6060.6618(1004,182031, 282018, 383026)",ARIMA,56.77,744.21,403.0,403.0,403.0
A - ML Candidate,14.L1.80120.M81__,ARIMA,93.25,115.22,70.0,70.0,70.0
A - ML Candidate,"14.L1.8080.88(181004, 282018, 283003, 284041,285052)",ARIMA,100.79,405.98,109.0,108.0,108.0
A - ML Candidate,"14.L1.8080.M88(AG905, DT904, LD902, LG902, MW909, 8OW903)",Ensemble,111.18,339.18,159.0,159.0,159.0
A - ML Candidate,"15.L1.3060.291(1,2,3)",Ensemble,117.26,691.05,237.0,237.0,237.0
A - ML Candidate,"15.L1.6060.660(1,2,4,5,6)",Ensemble,30.32,635.32,2331.0,2331.0,2331.0
C - Sparse,20.L1.100100.51107,Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,"20.L1.100100.911(10,11,12,13,20,21,22,23)",Naive,22.23,550.57,1374.0,1374.0,1374.0
A - ML Candidate,"20.L1.6060.1600(1,3,4)",XGBoost,34.98,323.12,967.0,472.0,794.0
A - ML Candidate,"20.L1.6060.161(05,14,17)",Ensemble,102.75,94.29,54.0,54.0,54.0
A - ML Candidate,20.L1.6060.16405,Ensemble,83.86,19.46,22.0,22.0,22.0
A - ML Candidate,"20.L1.6060.2600(4,6)",ARIMA,108.9,335.17,36.0,36.0,36.0
A - ML Candidate,"20.L1.6060.261(01,03,07,12,72)",ARIMA,74.44,573.56,405.0,405.0,405.0
A - ML Candidate,20.L1.6060.86301,SARIMA,63.35,447.33,699.0,279.0,411.0
C - Sparse,"20.L1.6060.A16(114,405)",MA6,13.61,257.61,2358.0,2358.0,2358.0
C - Sparse,"20.L1.6060.A26(006,107,112,172)",Croston,26.89,1456.37,4428.0,4428.0,4428.0
C - Sparse,20.L1.6060.A3600(3-6),Naive,7.19,311.27,4355.0,4355.0,4355.0
C - Sparse,20.L1.6060.A3690(2-4),MA3,38.97,605.0,1397.0,1397.0,1397.0
C - Sparse,20.L1.6060.A6610(1-6),MA6,22.68,3118.62,15312.0,15312.0,15312.0
C - Sparse,20.L1.6060.A86301,Naive,200.0,486.88,452.0,452.0,452.0
C - Sparse,20.L1.6060.A8960(1-7),Naive,34.28,5717.3,6174.0,6174.0,6174.0
C - Sparse,20.L1.6060.A8965(1-8),Naive,28.18,1976.23,4731.0,4731.0,4731.0
C - Sparse,"20.L1.6060.A9166(1,2)",Naive,8.77,1990.77,15095.0,15095.0,15095.0
A - ML Candidate,"20.L1.8080.181(17,25,26,27,28,29)",ARIMA,82.92,222.47,163.0,163.0,163.0
A - ML Candidate,20.L1.8080.28101/28107,Ensemble,29.07,193.01,442.0,442.0,442.0
C - Sparse,20.L1.8080.6810(1-6),Naive,15.81,1522.48,6399.0,6399.0,6399.0
C - Sparse,20.L1.8080.8980(1-7),Naive,21.94,3353.31,8144.0,8144.0,8144.0
C - Sparse,20.L1.8080.8985(1-8),Naive,13.71,1079.41,5920.0,5920.0,5920.0
A - ML Candidate,"21.C100.DG.(MPECO,MPSET).00",XGBoost,14.03,15894.29,282165.0,278619.0,98561.0
A - ML Candidate,"21.C100.DG.(UNIECO,UNISET).00",Prophet,17.73,44230.98,65692.0,636510.0,276292.0
A - ML Candidate,"21.C1T0.DG.(KBOND,KSET).00",Ensemble,39.03,2391.1,5608.0,5608.0,5608.0
C - Sparse,21.C2TE.DG.ADESP9.00/01,Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,21.CG2WA.CR.SF.00/111/112/113,Naive,66.67,57.74,0.0,0.0,0.0
C - Sparse,"21.CT.AQUAFLEXR77.W(18,4)",Naive,133.33,8.33,12.0,12.0,12.0
A - ML Candidate,"22.C100.DG.(TBOND,TPRO2,UCPRO,UC-PRO,UNICHEMI,UNILUXPRO,UNITILE).00",LightGBM,6.47,23091.09,306229.0,306229.0,306229.0
A - ML Candidate,22.C200.DG.TBOND.00,Ensemble,67.26,3883.97,5183.0,5183.0,5183.0
A - ML Candidate,22.CGIW.CR.JOINT.00,Ensemble,43.39,471.08,904.0,904.0,904.0
C - Sparse,25.L1.3060.FP936601(D),Croston,86.91,426.45,537.0,537.0,537.0
C - Sparse,"25.L1.3060.FP936602(D,V)",Croston,42.25,702.51,1456.0,1456.0,1456.0
C - Sparse,25.L1.3060.FP936604(D),MA3,27.37,1923.54,6094.0,6094.0,6094.0
C - Sparse,25.L1.3060.FP936605,MA6,36.02,1016.07,2871.0,2871.0,2871.0
C - Sparse,25.L1.3060.FP936606(D),Naive,28.68,1633.78,4499.0,4499.0,4499.0
C - Sparse,25.L1.3060.FP936607,Naive,25.07,468.23,1746.0,1746.0,1746.0
C - Sparse,"25.L1.3060.FP936608(D,V)",Naive,63.11,1555.79,2984.0,2984.0,2984.0
C - Sparse,"25.L1.3060.FP936609(D,V)",Naive,25.87,977.84,2718.0,2718.0,2718.0
C - Sparse,25.L1.3060.FP936610(D),Naive,21.59,429.0,1261.0,1261.0,1261.0
C - Sparse,25.L1.3060.FP936611,MA3,10.96,62.64,483.0,483.0,483.0
C - Sparse,25.L1.3060.FP936612(D),Naive,33.45,3262.37,3419.0,3419.0,3419.0
C - Sparse,25.L1.3060.FP936613,Naive,20.21,521.91,2329.0,2329.0,2329.0
C - Sparse,"25.L1.4080.FP948601(D,V)",Naive,77.0,1854.3,195.0,195.0,195.0
C - Sparse,"25.L1.4080.FP948602(D,V)",Naive,37.36,1336.32,4630.0,4630.0,4630.0
C - Sparse,"25.L1.4080.FP948603(D,V)",MA3,25.62,1129.56,3772.0,3772.0,3772.0
C - Sparse,"25.L1.4080.FP948604(D,V)",Naive,114.52,3073.78,5529.0,5529.0,5529.0
C - Sparse,"25.L1.6060.FP9660(0,1,4,6,7,8)",Naive,16.61,607.6,2903.0,2903.0,2903.0
C - Sparse,"25.L1.6060.FP96660(2,5)",MA6,64.26,2646.88,3714.0,3714.0,3714.0
C - Sparse,25.L1.6060.FP96666,MA3,60.97,533.52,1045.0,1045.0,1045.0
C - Sparse,25.L1.6060.FPH966001,Naive,48.78,507.13,491.0,491.0,491.0
C - Sparse,"25.L1.6060.FPU60(06,07,10,14,16,17,18)",Naive,42.8,567.15,744.0,744.0,744.0
