Phân khúc,Mã Sản Phẩm,Mô Hình Tối Ưu,Val_sMAPE (%),Val_RMSE,Dự báo T1/2026 (Áp dụng tính mùa vụ),Dự báo T2/2026 (Áp dụng tính mùa vụ),Dự báo T3/2026 (Áp dụng tính mùa vụ)
A - ML Candidate,"29.L1.6060.FPH(6001,966001)",LSTM,162.82,996.08,368,391,1303
A - ML Candidate,31.L1.LEO-100100-0xx,Ensemble,15.07,178.83,257,517,286
A - ML Candidate,"32.L1.ACC-(080160-00x,120120-00x)",Prophet,65.86,1064.79,380,105,285
A - ML Candidate,"33.L1.ICO-020120-1300(1,3,4)",Prophet,48.59,1887.03,688,735,1388
A - ML Candidate,33.L1.ICO-060120-00x,ARIMA,72.08,66.15,21,7,14
A - ML Candidate,33.L1.ICO-080160-00(1-5),ARIMA,160.82,198.49,213,25,145
A - ML Candidate,34.L1.ITA-060120-00x,ARIMA,53.21,91.12,22,4,13
C - Sparse,36.L1.8080.IP800(1-7),MA3,139.73,21.94,0,0,0
C - Sparse,36.L2.3060.USC3601,Naive,0,0,0,0,0
C - Sparse,36.L2.3060.USC3602,Naive,0,0,0,0,0
C - Sparse,36.L2.3060.USC3603(V),Naive,0,0,0,0,0
C - Sparse,36.L2.3060.USC3604(D),Naive,0,0,0,0,0
C - Sparse,36.L2.3060.USC36(21-29),Naive,0,0,0,0,0
C - Sparse,"36.L2.3060.USC36(31,33,37,38,39)",Naive,0,0,0,0,0
C - Sparse,36.L2.6060.N6002,Naive,0,0,0,0,0
C - Sparse,"36.L3.3060.USC3601,36.L3.3060.USC3602",Naive,0,0,0,0,0
C - Sparse,"36.L3.3060.USC3603(D,V)",Naive,0,0,0,0,0
C - Sparse,36.L3.3060.USC3604(D),Naive,0,0,0,0,0
C - Sparse,36.L3.3060.USC36(21-29),Naive,0,0,0,0,0
C - Sparse,36.L3.3060.USC363x,Naive,0,0,0,0,0
C - Sparse,38.L1.3060.KAI3607(D),MA3,39.83,1656.17,734,0,2661
C - Sparse,38.L1.3060.KAI3608,MA6,47.11,2213.59,769,0,2164
C - Sparse,"38.L1.4080.UT481001(D,T,V)",Naive,89.31,2844.51,0,0,0
C - Sparse,"38.L1.4080.UT481002(D,V)",Naive,33.95,175.48,0,0,0
C - Sparse,"38.L1.4080.UT481003(D,V)",MA3,92.87,157.41,0,0,0
C - Sparse,"38.L1.4080.UT481004(D,T,V)",Naive,89.45,5004.96,0,0,0
C - Sparse,"38.L1.4080.UT481005(D,V)",Naive,173.52,624.81,0,0,0
C - Sparse,"38.L1.4080.UT481006(D,V)",Naive,72.36,436.29,0,0,0
C - Sparse,"39.L2.6060.UGG60(01,03,04,06,07,10)",Naive,0,0,0,0,0
C - Sparse,41.L1.3060.M330(1-8),Naive,200,47875.45,0,0,0
C - Sparse,"41.L1.3060.M340(1,3,5,7)",Naive,200,2846.39,0,0,0
C - Sparse,"41.L1.3060.MS36100(1T,2D,3V)",MA3,40.65,1023.16,0,0,0
C - Sparse,"41.L1.3060.MT36100(1T,2D,3V)",Naive,65.72,9109.79,0,0,0
C - Sparse,41.L1.3060.S310(1-8),MA3,16.14,1281.5,2884,0,0
C - Sparse,41.L1.3060.U330(1-8),Naive,200,52445.1,0,0,0
C - Sparse,"41.L1.3060.U340(1,3,5,7)",Naive,200,3108.67,0,0,0
