Mã Sản Phẩm,Phân khúc,Trọng số tháng 1,Trọng số tháng 2,Trọng số tháng 3
"20.L1.6060.1600(1,3,4)",A - ML Candidate,0.7209,0.3033,2.0213
"20.L1.6060.161(05,14,17)",A - ML Candidate,0.6857,0.62,1.872
20.L1.6060.16405,A - ML Candidate,0.8689,0.7613,1.147
"20.L1.6060.2600(4,6)",A - ML Candidate,0.801,0.3893,1.8701
"20.L1.6060.261(01,03,07,12,72)",A - ML Candidate,0.6534,0.4309,1.5771
20.L1.6060.86301,A - ML Candidate,1.0423,0.3671,1.1457
"20.L1.6060.A16(114,405)",C - Sparse,0.4474,0.2638,0.9539
"20.L1.6060.A26(006,107,112,172)",C - Sparse,0.9047,0.3351,1.4255
20.L1.6060.A3600(3-6),C - Sparse,0.4933,0.7617,0.9827
20.L1.6060.A3690(2-4),C - Sparse,1.0929,0.5818,2.454
20.L1.6060.A6610(1-6),C - Sparse,0.0207,0.3256,1.6606
20.L1.6060.A86301,C - Sparse,0.0,0.0,0.0
20.L1.6060.A8960(1-7),C - Sparse,0.0,0.0,0.1575
20.L1.6060.A8965(1-8),C - Sparse,0.0,0.0,0.0
"20.L1.6060.A9166(1,2)",C - Sparse,0.2872,0.5101,1.2103
"20.L1.8080.181(17,25,26,27,28,29)",A - ML Candidate,1.2344,0.4262,0.7601
20.L1.8080.28101/28107,A - ML Candidate,0.5181,0.5225,0.5834
20.L1.8080.6810(1-6),C - Sparse,0.01,0.211,0.733
20.L1.8080.8980(1-7),C - Sparse,0.0,0.0,0.4508
20.L1.8080.8985(1-8),C - Sparse,0.0,0.0,0.0003
"21.C100.DG.(MPECO,MPSET).00",A - ML Candidate,0.2501,4.9781,0.9916
"21.C100.DG.(UNIECO,UNISET).00",A - ML Candidate,0.2825,2.7362,1.037
"21.C1T0.DG.(KBOND,KSET).00",A - ML Candidate,0.2888,2.2655,1.1716
21.C2TE.DG.ADESP9.00/01,C - Sparse,0.0,0.0,7.1176
21.CG2WA.CR.SF.00/111/112/113,C - Sparse,0.0,1.6815,0.8408
"21.CT.AQUAFLEXR77.W(18,4)",C - Sparse,0.0,0.0,0.0
"22.C100.DG.(TBOND,TPRO2,UCPRO,UC-PRO,UNICHEMI,UNILUXPRO,UNITILE).00",A - ML Candidate,0.2903,2.7996,1.144
22.C200.DG.TBOND.00,A - ML Candidate,0.5037,1.3423,1.345
22.CGIW.CR.JOINT.00,A - ML Candidate,0.2535,1.5599,1.3754
25.L1.3060.FP936601(D),C - Sparse,0.0,0.0,0.7083
"25.L1.3060.FP936602(D,V)",C - Sparse,0.0,0.0,0.7451
25.L1.3060.FP936604(D),C - Sparse,0.0209,0.4211,2.2222
25.L1.3060.FP936605,C - Sparse,0.0,0.891,1.0156
25.L1.3060.FP936606(D),C - Sparse,0.0,0.0,1.8961
25.L1.3060.FP936607,C - Sparse,0.0,0.0,0.3629
"25.L1.3060.FP936608(D,V)",C - Sparse,0.0,0.0,1.0503
"25.L1.3060.FP936609(D,V)",C - Sparse,0.0,0.0,0.0
25.L1.3060.FP936610(D),C - Sparse,0.0,0.0,0.0
25.L1.3060.FP936611,C - Sparse,0.0,0.0,2.4723
25.L1.3060.FP936612(D),C - Sparse,0.0,0.5342,2.4189
25.L1.3060.FP936613,C - Sparse,0.0,0.0,0.0
"25.L1.4080.FP948601(D,V)",C - Sparse,0.0,0.0,0.2739
"25.L1.4080.FP948602(D,V)",C - Sparse,0.0,0.0,0.0054
"25.L1.4080.FP948603(D,V)",C - Sparse,0.0,0.0178,0.0127
"25.L1.4080.FP948604(D,V)",C - Sparse,0.503,0.5274,0.284
"25.L1.6060.FP9660(0,1,4,6,7,8)",C - Sparse,0.0,0.0898,1.7082
"25.L1.6060.FP96660(2,5)",C - Sparse,0.0,0.4172,1.8301
25.L1.6060.FP96666,C - Sparse,0.0,1.0514,0.4421
25.L1.6060.FPH966001,C - Sparse,0.0,1.572,0.8084
"25.L1.6060.FPU60(06,07,10,14,16,17,18)",C - Sparse,0.0,0.0,0.0
"25.L1.6060.FPU9660(01,02,03,05,09,13)",C - Sparse,0.1467,0.3373,1.1809
"25.L1.8080.FP1860(0,1,4,6,7,8)",C - Sparse,0.2709,0.381,1.2966
"25.L1.8080.FPU1880(03,05,11,13,17,33,35)",C - Sparse,0.0754,0.0629,0.989
"27.L1.6060.(DIC6617, DIC6644, SV6004)",C - Sparse,2.4356,0.0,0.0016
29.L1.1580.FP1580(1-8),A - ML Candidate,0.9295,0.651,0.9065
"29.L1.3030.F3(05,08,15,17)",A - ML Candidate,0.3384,0.8583,2.8554
29.L1.3030.FK30(1-5),A - ML Candidate,0.6002,1.096,3.2309
29.L1.3060.FC3604(D),A - ML Candidate,0.272,1.1884,1.8083
29.L1.3060.FC3605,A - ML Candidate,0.7378,1.0117,1.4769
"29.L1.3060.FC3606(D,V)",A - ML Candidate,0.8606,1.4525,2.2004
29.L1.3060.FC3618(D),A - ML Candidate,0.8097,1.1014,1.4989
29.L1.3060.FC3619(T),A - ML Candidate,0.7251,0.9129,1.4315
"29.L1.3060.FC3622(D,V)",A - ML Candidate,0.3389,0.9403,1.7937
"29.L1.3060.FC3623(D,V)",A - ML Candidate,0.2043,0.981,2.252
29.L1.3060.FC39002(D),C - Sparse,0.0,0.0,0.2701
29.L1.3060.FC39003,C - Sparse,0.0,0.0,0.282
29.L1.3060.FC39004(D),C - Sparse,0.0,0.0,0.4408
29.L1.3060.FC39005,C - Sparse,0.0,0.0,0.5384
"29.L1.3060.FC39006,29.L1.3060.FC39007",C - Sparse,0.0,0.0,1.0476
29.L1.3060.FC39008(D),C - Sparse,0.0,0.0,0.0
29.L1.3060.FC39009,C - Sparse,0.0,0.0,0.0
29.L1.3060.FC39010(D),C - Sparse,0.0,0.0,0.0
29.L1.3060.FC39011,C - Sparse,0.0,0.0,0.0
29.L1.3060.FC39012(D),C - Sparse,0.0,0.0,1.7398
29.L1.3060.FC39013,C - Sparse,0.0,0.0,2.305
29.L1.3060.FP3618(D),A - ML Candidate,0.3069,1.0594,0.8412
29.L1.3060.FP3619,A - ML Candidate,0.3182,0.836,0.9807
"29.L1.3060.FPH3621(D,V)",A - ML Candidate,0.3452,0.6621,1.0503
29.L1.3060.FUSC3635(D),C - Sparse,0.0,0.0,1.0992
29.L1.3060.FUSC3636,C - Sparse,0.0,0.3526,2.4401
"29.L1.3060.FUSC3641(D,V)",C - Sparse,0.0,0.7429,1.3906
"29.L1.3060.FUSC3642(D,V)",C - Sparse,0.0,0.7548,1.467
"29.L1.3060.FUSC3643(D,V)",C - Sparse,0.0,1.5785,1.874
"29.L1.3060.FUSC3644(D,V)",C - Sparse,0.0,1.1069,1.7994
29.L1.3060.FUSM3645(D),C - Sparse,0.0,0.5724,0.5747
29.L1.3060.FUSM3646,C - Sparse,0.0,0.4479,0.4341
29.L1.3060.FUSM3647(D),C - Sparse,0.0,0.0622,1.1325
29.L1.3060.FUSM3648,C - Sparse,0.0,0.1739,1.4274
29.L1.3060.FUSM3649(D),C - Sparse,0.0,1.394,0.7216
29.L1.3060.FUSM3650,C - Sparse,0.0,1.0977,1.205
29.L1.3060.FUSM3651(D),C - Sparse,0.0,0.039,1.1626
29.L1.3060.FUSM3652,C - Sparse,0.0,0.3081,1.093
"29.L1.4080.FC4802(D,V)",A - ML Candidate,0.1987,0.7522,1.0338
"29.L1.4080.FC4803(D,V)",A - ML Candidate,0.1064,0.578,0.5742
"29.L1.4080.FC4805(D,V)",A - ML Candidate,0.1404,0.3396,0.1282
29.L1.6060.FP(6602-6605),A - ML Candidate,0.2494,0.1708,0.9293
"29.L1.6060.FPH(6001,966001)",A - ML Candidate,0.2653,0.2763,0.9049
31.L1.LEO-100100-0xx,A - ML Candidate,0.2218,0.4471,0.247
"32.L1.ACC-(080160-00x,120120-00x)",A - ML Candidate,0.6965,0.2192,0.6163
"33.L1.ICO-020120-1300(1,3,4)",A - ML Candidate,0.3455,0.3046,0.5184
33.L1.ICO-060120-00x,A - ML Candidate,0.4643,0.1647,0.3799
33.L1.ICO-080160-00(1-5),A - ML Candidate,0.6314,0.0686,0.384
34.L1.ITA-060120-00x,A - ML Candidate,0.4612,0.0989,0.3217
36.L1.8080.IP800(1-7),C - Sparse,0.0,0.0012,0.0
36.L2.3060.USC3601,C - Sparse,0.5459,6.2779,2.0289
36.L2.3060.USC3602,C - Sparse,3.1743,0.0,5.3964
36.L2.3060.USC3603(V),C - Sparse,0.0948,4.7059,4.1529
36.L2.3060.USC3604(D),C - Sparse,0.0,1.5471,8.6381
